name,highway_type,geometry
Bilal Bin Rabah,secondary,"LINESTRING (46.5348942 24.5810834, 46.5346684 24.5811008, 46.5344237 24.5811197, 46.5328322 24.5812426, 46.5314677 24.5813479, 46.5299385 24.5814659, 46.5285049 24.5815766, 46.5272752 24.5816715, 46.5262127 24.5817535, 46.5251256 24.5818374, 46.5237757 24.5819938, 46.5234847 24.582033, 46.5234478 24.58205, 46.5233907 24.582083, 46.523315 24.5821335, 46.5232714 24.5821781, 46.5232172 24.5822569)"
بلال بن رباح,secondary,"LINESTRING (46.5353057 24.5809136, 46.5355546 24.5808941, 46.53575 24.5808788, 46.5373481 24.5807539, 46.5398291 24.58056, 46.5409663 24.5804711, 46.5423397 24.5803638, 46.5434317 24.5802784, 46.5446258 24.5801851, 46.5459046 24.5800851, 46.5465094 24.5800378, 46.5466766 24.5800248, 46.5472406 24.5799807, 46.5485145 24.5798812, 46.5507717 24.5797047, 46.5521425 24.5795976, 46.5557972 24.5793119, 46.5563278 24.5792704, 46.5564884 24.5792579, 46.557634 24.5791684, 46.558719 24.5790836, 46.5598919 24.5789919, 46.5620164 24.5788258, 46.5644317 24.578637, 46.5655697 24.5785481, 46.5661653 24.5785015, 46.5671956 24.578421, 46.569617 24.5782317, 46.5707305 24.5781447, 46.5712795 24.5781018, 46.5724316 24.5780117, 46.5748706 24.5778211, 46.576047 24.577735, 46.5762695 24.5777021, 46.5774371 24.5776205, 46.5785347 24.5775266, 46.5788597 24.5775093, 46.5799379 24.5774288, 46.5801559 24.5774125, 46.5805372 24.5774073, 46.5806661 24.5774055, 46.5809886 24.5774011, 46.5812148 24.5774086, 46.5818465 24.5774296, 46.5827043 24.5774979, 46.5833212 24.5775893, 46.5834618 24.5776311, 46.5835309 24.5776516, 46.583986 24.5777476, 46.5843136 24.5778168, 46.5852841 24.5780787, 46.5854908 24.5781454, 46.5862937 24.5784047, 46.5866606 24.5785668, 46.5869529 24.5786959, 46.5877402 24.5790597, 46.588715 24.5795708, 46.5888424 24.5796505, 46.5896044 24.5801273, 46.5898806 24.5802963, 46.5901041 24.5804331, 46.5921129 24.5816625, 46.5927347 24.5820431, 46.5933644 24.5824285, 46.5935417 24.582537, 46.5937422 24.5826598, 46.5939967 24.5828155, 46.5940761 24.5828641, 46.5945985 24.5831838, 46.5946452 24.5832124, 46.5958787 24.5839673, 46.5975758 24.585006, 46.5977257 24.5850977, 46.5978163 24.5851532, 46.5981763 24.5853735)"
الأمير عبدالرحمن بن سعود بن عبدالعزيز,secondary,"LINESTRING (46.5551315 24.5664711, 46.5551274 24.5663351, 46.555122 24.5662899, 46.5549504 24.5644743, 46.5548819 24.563738, 46.554759 24.5622426, 46.5546672 24.5611272, 46.5546048 24.5603676, 46.5545908 24.5602317, 46.554519 24.5595321, 46.5543791 24.5581686, 46.5542106 24.5565265, 46.5541486 24.5558604, 46.5540323 24.5545725, 46.5540298 24.5545445, 46.5540001 24.5542154, 46.5539686 24.5538666, 46.5539619 24.5537129, 46.5539353 24.5534509, 46.5538989 24.5530931, 46.5538039 24.5521581, 46.5537772 24.5518997, 46.5537584 24.5516686, 46.5537342 24.551409, 46.5537041 24.5510851, 46.5534638 24.5485035, 46.5534487 24.5483421)"
الأمير عبدالرحمن بن سعود بن عبدالعزيز,secondary,"LINESTRING (46.5536166 24.5483289, 46.5536316 24.5484906, 46.5537693 24.549973, 46.5538377 24.5507103, 46.5538708 24.551067, 46.5539467 24.5518839, 46.5539709 24.5521443, 46.5540624 24.5530765, 46.5540972 24.5534315, 46.5541229 24.5536934, 46.5541323 24.5538678, 46.5541627 24.5541964, 46.5541938 24.5545328, 46.5542058 24.5546619, 46.5543417 24.5560684, 46.5544884 24.5576575, 46.5545581 24.5583955, 46.5547309 24.5602274, 46.5547449 24.5603548, 46.5549357 24.5624531, 46.5549983 24.5631415, 46.5552415 24.5658151, 46.5552802 24.5662716, 46.5552896 24.5663192, 46.5553286 24.5664578)"
دالج,residential,"LINESTRING (46.5774063 24.5766284, 46.5772337 24.5748691)"
خلائل,residential,"LINESTRING (46.5779184 24.5765836, 46.5778803 24.5760876, 46.5777779 24.5748262)"
صبيخة,residential,"LINESTRING (46.5804035 24.5758618, 46.5791953 24.5759562, 46.5778803 24.5760876)"
ديم,residential,"LINESTRING (46.5768833 24.5771538, 46.5768401 24.5766779, 46.5766913 24.5749118, 46.5766472 24.574389, 46.5766067 24.573908)"
المريد,residential,"LINESTRING (46.5760168 24.5772003, 46.5753601 24.5772477, 46.5748199 24.5772904, 46.5742687 24.577336, 46.5724143 24.5774807, 46.5712357 24.5775739)"
طيبة,residential,"LINESTRING (46.5766472 24.574389, 46.5776519 24.5743059, 46.5779577 24.5742806, 46.5787326 24.5742165, 46.5790756 24.5741881, 46.5802503 24.5740909)"
